project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 18-064,/records-research/project-search/og-18-064,HPA 18-113,"2822 Pennsylvania Avenue, NW
United States",Commercial,Awning replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/28907,"Returned without Action. Permit application for new awning was withdrawn at the written request of the applicant.
",,,,,,,
OG 18-015,/records-research/project-search/og-18-015-0,HPA 18-022,"1710 34th Street, NW
United States",Residence,"Installation of Basement Level Egress Window on Front Elevation, Fence Replacement",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27502,"Returned without Action. Permit application for installation of basement level egress window on front elevation, alterations, and fence replacement was withdrawn at the written request of the applicant.
","('/records-research/project-search/og-18-015', 'OG 18-015')",,,,,,
OG 18-027,/records-research/project-search/og-18-027,HPA 18-043,"1209 35th Street, NW
United States",Residence,Window Replacement at Rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27502,Returned without Action.  Permit application for window replacement on rear elevation was withdrawn at the written request of the applicant.,,,,,,,
OG 17-376,/records-research/project-search/og-17-376,HPA 17-663,"3700 O Street, NW
United States",Georgetown University - Leavey Center,Antenna Replacement and Related Equipment on Roof,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27501,"Returned without action.  Submitted materials and a site visit of 18 October 2017 indicate that proposed three replacement antennas and related equipment for T-Mobile mounted to penthouse wall on the roof of the Leavey Center will not be visible from public thoroughfare.  Refer to the Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 17-105,/records-research/project-search/og-17-105-0,HPA 17-192,"1703 32nd Street, NW
United States",Dumbarton Oaks Research Library and Collection,Ground-mounted lighting for facade illumination,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27500,"Returned without Action. Permit application for ground-mounted lighting has been inactive for an extended period of time.
","('/records-research/project-search/og-17-105', 'OG 17-105')",,,,,,
OG 17-226,/records-research/project-search/og-17-226-1,HPA 17-368,"3149 O Street, NW
United States",Residence,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27500,"Returned without Action.  Concept application OG 17-226, HPA 17-368 superseded by permit application OG 17-372, HPA 17-646.  ","('/records-research/project-search/og-17-226-0', 'OG 17-226')",,,,,,
OG 17-165,/records-research/project-search/og-17-165-0,HPA 17-282,"3336 Reservoir Road, NW
United States",Residence,Rooftop addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27499,Returned without Action.  Permit application for rear rooftop addition has been inactive for an extended period of time.  ,"('/records-research/project-search/og-17-165', 'OG 17-165')",,,,,,
OG 17-174,/records-research/project-search/og-17-174-0,HPA 17-310,"3602 Prospect Street, NW
United States",Residence,"Rear Addition, Roof Addition, Alterations",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27499,"Returned without Action.  Concept application for rear addition, roof addition, and alterations was withdrawn at the written request of the applicant.","('/records-research/project-search/og-17-174', 'OG 17-174')",,,,,,
OG 17-293,/records-research/project-search/og-17-293,HPA 17-518,"3700 O Street, NW
United States",Georgetown University - Leavey Center,Antenna and Related Equipment Replacement on Roof,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27499,"Returned without action. Submitted materials and a site visit of 25 August 2017 indicate that proposed antennas for Verizon mounted to penthouse wall and new equipment penthouse on the roof of the Leavey Center will not be visible from public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 17-306,/records-research/project-search/og-17-306,HPA 17-534,"3042 Q Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27499,"Returned without Action. Submission materials and a site visit on 22 August 2017 indicate proposed window replacement would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 17-307,/records-research/project-search/og-17-307,HPA 17-535,"1213 29th Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27499,"Returned without Action. Submission materials and a site visit on 22 August 2017 indicate proposed window replacement would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 17-309,/records-research/project-search/og-17-309,HPA 17-537,"3021 O Street, NW
United States",Residence,Addition,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27499,"Returned without Action. Submission materials and a site visit on 22 August 2017 indicate proposed window replacement would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 17-317,/records-research/project-search/og-17-317,HPA 17-545,"1051 29th Street, NW
United States",Multi-family residence,"New Building, Site Work",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27499,"Returned without Action. Concept application for new building and site work was approved by the CFA at its May 2017 meeting. In its action to approve the concept design, the Commission requested review of a revised concept submission without an intervening review by the Old Georgetown Board.
","('/records-research/project-search/og-17-146-1', 'OG 17-146')",,,,,,
OG 17-243,/records-research/project-search/og-17-243,HPA 17-438,"1703 32nd Street, NW
United States",Dumbarton Oaks Research Library and Collection,"Stormwater management replacement, fountain waterproofing",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27498,"Returned without Action. Submission materials received 28 June 2017 indicate that proposed replacement of existing underground water service to gardens and fountains, waterproofing of fountains, and temporary disturbance of site features associated with the project are documented to be repaired as an exact restoration or in-kind replacement of historic features. Refer to Historic Preservation Review Board.
",,,,,,,
OG 17-259,/records-research/project-search/og-17-259,HPA 17-454,"3217 P Street, NW
United States",Commercial,Four Story Addition on Site of Parking Lot Adjacent to Two Story Building,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27498,Returned without Action.  Permit application for four story addition was withdrawn at the written request of the applicant.,,,,,,,
OG 17-101,/records-research/project-search/og-17-101-0,HPA 17-180,"3420 Dent Place, NW
United States",Residence,Fence replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27497,Returned without Action.  Permit application for fence replacement has been inactive for an extended period of time.,,,,,,,
OG 17-204,/records-research/project-search/og-17-204,HPA 17-400,"3711 Winfield Lane, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27497,Returned without Action.  Permit application for window replacement was withdrawn at the written request of the applicant.,,,,,,,
OG 16-365,/records-research/project-search/og-16-365,HPA 16-656,"1618 34th Street, NW
United States",Residence,Window and door replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27496,Returned without Action.  Permit application for replacement windows has been inactive for an extended period of time.,,,,,,,
OG 16-371,/records-research/project-search/og-16-371-0,HPA 16-662,"1801 35th Street, NW
United States",Fillmore School,"Addition, Alterations, Site work",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27496,"Returned without Action. Concept application for additions, alterations, and site work has been inactive for an extended period of time.
","('/records-research/project-search/og-16-371', 'OG 16-371')",,,,,,
OG 17-030,/records-research/project-search/og-17-030-0,HPA 17-057,"1659 Wisconsin Avenue, NW
United States",Commercial,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27496,Returned without Action.  Concept application for rear addition has been inactive for an extended period of time.,"('/records-research/project-search/og-17-030', 'OG 17-030')",,,,,,
OG 17-148,/records-research/project-search/og-17-148-0,HPA 17-265,"3317 P Street, NW
United States",Residence,Rear addition,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27496,"Returned without Action.  Revised submission materials and a mockup inspection on 25 April 2017 indicate proposed one-story addition would not be visible from a public thoroughfare.  Revised drawings submitted 25 April 2017 indicate a one-story rear addition that would extend back 7'-6"" with a height of no more than 10'-10"" at the rearmost projection.  Refer to Historic Preservation Review Board.","('/records-research/project-search/og-17-148', 'OG 17-148')",,,,,,
OG 17-162,/records-research/project-search/og-17-162-1,HPA 17-279,"3217 Volta Place, NW
United States",Residence,Rear alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27496,Returned without Action.  Permit application was superseded by permit application OG 17-199.,"('/records-research/project-search/og-17-162', 'OG 17-162')",,,,,,
OG 17-172,/records-research/project-search/og-17-172,HPA 17-291,"1561 33rd Street, NW
United States",Residence,"Installation of French doors, Deck with ramp",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27496,Returned without Action.  Submission materials and a site visit on 21 April 2017 indicate proposed French doors and deck would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,,,,,,,
OG 17-195,/records-research/project-search/og-17-195,HPA 17-390,"3017 N Street, NW
United States",Residence,Subterranean connections,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27496,Returned without Action.  Concept application for subterranean connections was withdrawn at the written request of the applicant.,,,,,,,
OG 17-073,/records-research/project-search/og-17-073,HPA 17-136,"3265 M Street, NW
United States",Commercial,Sign - lululemon,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27489,"Returned without Action. Permit application was superseded by permit application OG 17-121.
",,,,,,,
OG 17-109,/records-research/project-search/og-17-109,HPA 17-197,"1246-1250 27th Street, NW
United States",Residence,Alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27489,,"('/records-research/project-search/og-17-109', 'OG 17-109')",,,"('/records-research/project-search/og-17-137-1', 'OG 17-137')","('/records-research/project-search/og-17-109-0', 'OG 17-109')",,Recommendation
OG 17-116,/records-research/project-search/og-17-116-0,HPA 17-207,"1530 Wisconsin Avenue, NW
United States",Commercial,Window alteration and replacement,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27489,Returned without Action.  Permit application was superseded by permit application OG 17-164.,"('/records-research/project-search/og-17-116', 'OG 17-116')",,,"('/records-research/project-search/og-17-164', 'OG 17-164')",,,
OG 16-391,/records-research/project-search/og-16-391,HPA 16-696,"1310 Wisconsin Avenue, NW
United States",Commercial,Antenna replacement - T-Mobile,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27488,"Returned without Action. Permit application for antenna replacement has been inactive for an extended period of time.
",,,,,,,
OG 17-051,/records-research/project-search/og-17-051-0,HPA 17-100,"2903 P Street, NW
United States",Residence,New pool house,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27488,Returned without Action.  Permit application for pool house was withdrawn at the written request of the applicant.,,,,,,,
CFA 23/JAN/17-l,/records-research/project-search/cfa-23jan17-x,HPA N/A,"1819 35th Street, NW
United States",Hardy Middle School,Site work for outdoor classroom,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27486,"No Action. Submission of concept design for site work for outdoor classroom at Hardy Middle School has been inactive for an extended period of time. File new submission of drawings for a revised design for concept review by the Commission.
","('/records-research/project-search/tbd-4', 'CFA 21/JUL/16-s')",,,,,,
OG 16-349,/records-research/project-search/og-16-349,HPA 16-627,"3065 M Street, NW
United States",Commercial,Storefront alterations - Sephora,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27486,"Returned without action.  Permit application for storefront alterations has been inactive for an extended period of time.  File new submission of drawings for review by the Commission.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-362,/records-research/project-search/og-16-362,HPA 16-653,"3150 M Street, NW
United States",Commercial,Alterations,Revised permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27486,"Returned without action.  Application for revision to permit for replacement entry doors has been inactive for an extended period of time.  File new submission at DCRA with cut-sheets, including dimensions and details for new pair of wood doors per previously approved design (see OG 15-246) for review by the Commission.  Bronze-clad doors are not compatible with this historic building.","('/records-research/project-search/og-16-112-0', 'OG 16-112')",,,,,,
OG 16-372,/records-research/project-search/og-16-372,HPA 16-663,"1426 35th Street, NW
United States",Residence,Deck,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/27486,"Returned without action.  Permit application for new wood deck has been inactive for an extended period of time.  Submission materials were insufficient for review.  File new submission at DCRA of construction drawings, including details and dimensions, with permit application for review by the Commission.  Note that The L'Enfant Trust holds an easement on this property.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-298,/records-research/project-search/og-16-298,HPA 16-531,"1608 Wisconsin Avenue, NW
United States",Commercial,Window Replacement ,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24924,"Returned without Action.  Permit application for replacement windows has been inactive for an extended period of time.    Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 17-026,/records-research/project-search/og-17-026,HPA 17-049,"2705 Dumbarton Street, NW
United States",Residence,Replacement of rear door,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24924,"Returned without Action.  Submission materials and a site visit on 14 November 2016 indicate proposed rear door replacement would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-286,/records-research/project-search/og-16-286-1,HPA 16-505,"3210 Grace Street, NW
United States",Mixed-use,"Alley fenestration alterations, Signs, Landscaping",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24921,"Return without Action.  Concept application for alterations, signs, and landscaping was superseded by permit application OG 17-020.","('/records-research/project-search/og-16-286-0', 'OG 16-286')",,,,,,
OG 16-305,/records-research/project-search/og-16-305,HPA 16-553,"1206 Wisconsin Avenue, NW
United States",Restaurant,"Sign, Alley lighting - Sovereign",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24921,Returned without Action.  Concept application for sign and alley lighting has been inactive for an extended period of time and applicant has confirmed project is not moving forward.,"('/records-research/project-search/og-16-169-1', 'OG 16-169')",,,,,,
OG 16-387,/records-research/project-search/og-16-387,HPA 16-685,"1075 Thomas Jefferson Street, NW
United States",Commercial,Tents on roof deck,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24921,Returned without Action.  Tents are a temporary installation not to exceed 59 days.,,,,,,,
OG 16-389,/records-research/project-search/og-16-389,HPA 16-690,"1618 34th Street, NW
United States",Residence,New gate at rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24921,Returned without Action.  Submission materials and a site visit on 18 October 2016 indicate proposed rear gate would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.,,,,,,,
OG 17-008,/records-research/project-search/og-17-008,HPA 17-015,"3317 P Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24921,Returned without Action.  Submission materials and a site visit on 18 October 2016 indicate proposed rear addition would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.,,,,,,,
OG 16-234,/records-research/project-search/og-16-234-0,HPA 16-415,"1653 35th Street, NW
United States",Residence,Two-story rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24920,Returned without Action.  Concept application for a rear addition has been inactive for an extended period of time.,"('/records-research/project-search/og-16-234', 'OG 16-234')",,,,,,
OG 16-242,/records-research/project-search/og-16-242-2,HPA OG 16-242,"2920 Dumbarton Street, NW
United States",Residence,"Alterations, Replacement windows/doors - Existing alterations without review",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24920,"Returned with Action.  Concept application for fenestration, roof, chimney, and balcony was withdrawn at the written request by the applicant.","('/records-research/project-search/og-16-242-0', 'OG 16-242')",,,,,,
OG 16-287,/records-research/project-search/og-16-287-0,HPA 16-506,"3255-3259 Prospect Street, NW
United States",Multi-family residence,"New construction, Demolition",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24920,"Returned without Action. Concept application for new construction and demolition was withdrawn at the written request by the applicant.
","('/records-research/project-search/og-16-287', 'OG 16-287')",,,,,,
OG 16-288,/records-research/project-search/og-16-288,HPA 16-507,"3100 South Street, NW
United States",Mixed-use,"Addition with roof terrace, Fenestration alterations, Site work",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24920,"Returned without Action.  Concept application for an addition, alterations, and site work has been inactive for an extended period of time.",,,,,,,
OG 16-352,/records-research/project-search/og-16-352-0,HPA 16-637,"1316 34th Street, NW
United States",Residence,New garage,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24920,Returned without Action.  Concept application for a new garage was withdrawn at the written request by the applicant.,,,,,,,
OG 16-353,/records-research/project-search/og-16-353,HPA 16-639,"1025 Thomas Jefferson Street, NW
United States",Mixed-use,Blade Sign - Colonial Parking,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24920,"Returned without Action. Permit application for blade sign was withdrawn at the written request by the applicant. File new submission at DCRA of detailed and dimensioned drawings, with permit application for correct address for review by the Commission.
",,,,,,,
OG 16-358,/records-research/project-search/og-16-358,HPA 16-647,"1080 Wisconsin Avenue, NW
United States",Multi-family residence,"Door replacement, Pergola",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24920,"Returned with Action.  Concept application for door replacement and pergola was withdrawn at the written request by the applicant.
",,,,,,,
OG 16-377,/records-research/project-search/og-16-377,HPA 16-668,"1662 34th Street, NW
United States",Residence,"Rear addition, Alterations",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24920,Returned without Action.  Permit drawings received 20 September 2016 indicate historic brick chimneys will be maintained and proposed two-story rear addition with hyphen and wing walls would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,"('/records-research/project-search/og-15-293-1', 'OG 15-293')",,,,,,
OG 16-116,/records-research/project-search/og-16-116-1,HPA 16-188,"1525 Wisconsin Avenue, NW
United States",Commercial,Rooftop mechanical equipment and ductwork - Existing alterations without review,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24919,"Returned without Action.  Permit application has been inactive for an extended period of time.  File new submission at DCRA of working drawings, with dimensioned architectural details, with permit application for review by the Commission.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.","('/records-research/project-search/og-16-116-0', 'OG 16-116')",,,,,,
OG 16-180,/records-research/project-search/og-16-180,HPA 16-304,"3121 O Street, NW
United States",Residence,Replacement stairs in public space,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24919,Returned without Action.  Permit application for stair alterations has been inactive for an extended period of time.,,,,,,,
OG 16-215,/records-research/project-search/og-16-215-0,HPA 16-374,"3281 M Street, NW
United States",Commercial,"ATM, Light fixtures, Sign - Bank of America",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24919,"Returned without Action.  Permit application for new ATM, light fixtures and sign for Bank of America was withdrawn at the request of the applicant.  The public space application for sidewalk alterations was also withdrawn.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.","('/records-research/project-search/og-16-215', 'OG 16-215')",,,,,,
OG 16-296,/records-research/project-search/og-16-296,HPA 16-524,"3064 Q Street, NW
United States",Residence,Door replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24919,"Returned without Action.  Submission materials and a site visit on 16 August 2016 indicate proposed door replacement on rear elevation would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-312,/records-research/project-search/og-16-312,HPA 16-569,"1505 28th Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24919,"Returned without Action.  Submission materials and a site visit on 16 August 2016 indicate proposed window replacement would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.  Note: The L'Enfant Trust holds an easement on this property.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-329,/records-research/project-search/og-16-329,HPA 16-587,"1052 Thomas Jefferson Street, NW
United States",Commercial,Sidewalk expansion,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24919,"Returned without Action.  Permit application for sidewalk expansion was withdrawn at the request of the applicant.  The public space application was also withdrawn.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-343,/records-research/project-search/og-16-343,HPA 16-601,"1617 33rd Street, NW
United States",Residence,"Electric meter - Existing alteration without review, Light fixture",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24919,"Returned without Action.  The Commission regrets that new electric meter was installed on front of projecting bay prior to review.  Permit application for new meter was withdrawn by written request by applicant.  Meter to be returned to interior and all masonry to be repaired.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-092,/records-research/project-search/og-16-092-0,HPA 16-159,"3300 Q Street, NW
United States",Residence,"Alterations, Replacement windows",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Permit application for replacement windows and alterations has been inactive for an extended period of time.,"('/records-research/project-search/og-16-092', 'OG 16-092')",,,,,,
OG 16-154,/records-research/project-search/og-16-154-0,HPA 16-274,"3207 Scott Place, NW
United States",Residence,"New window openings, Window wells in public space",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Concept application for window alterations has been inactive for an extended period of time.   ,"('/records-research/project-search/og-16-154', 'OG 16-154')",,,,,,
OG 16-169,/records-research/project-search/og-16-169-0,HPA 16-291,"1206 Wisconsin Avenue, NW
United States",Restaurant,"Sign, Alley lighting - Sovereign",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Concept application for signs and lighting has been inactive for an extended period of time.   ,"('/records-research/project-search/og-16-169', 'OG 16-169')",,,,,,
OG 16-202,/records-research/project-search/og-16-202-1,HPA 16-358,"1071 Thomas Jefferson Street, NW
United States",Mixed-use,"Awnings, Banner - Curio",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Permit application for awnings and banner was withdrawn at the request of the applicant.,"('/records-research/project-search/og-16-202-0', 'OG 16-202')",,,,,,
OG 16-204,/records-research/project-search/og-16-204-0,HPA 16-360,"1413 Wisconsin Avenue, NW
United States",Commercial,Roof deck and railing,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Concept application for roof deck has been inactive for an extended period of time.   ,,,,,,,
OG 16-250,/records-research/project-search/og-16-250,HPA 16-433,"3122 M Street, NW
United States",Commercial,Replacement windows,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,"The Commission regrets that multi-light windows at second floor were replaced with 1/1 windows prior to review or permit.  Returned without Action.  Permit application for replacement windows was withdrawn at the request by applicant.  Scope of work was changed to repair of existing 6/1 single-glazed wood windows at second floor ONLY.
",,,,,,,
OG 16-253,/records-research/project-search/og-16-253,HPA 16-440,"2900 K Street, NW
United States",House of Sweden,Replacement roof terrace,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Submission materials and a site visit on 9 June 2016 indicate that proposed replacement decking on roof terrace would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 16-255,/records-research/project-search/og-16-255,HPA 16-467,"3060 Q Street, NW
United States",Residence,Skylight,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Submitted materials and site visit on 20 June 2016 indicate that proposed skylight would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,,,,,,,
OG 16-263,/records-research/project-search/og-16-263,HPA 16-482,"3410 Prospect Street, NW (also known as 3400 Prospect Street, NW)
United States",Residence,Canopy,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Submitted material and site visit on 20 June 2016 indicate proposed canopy at rear would not be visible from a public thoroughfare.  Refer to the Historic Preservation review Board.,,,,,,,
OG 16-272,/records-research/project-search/og-16-272,HPA 16-491,"1230-1234 36th Street, NW
United States",Commercial,Remove roofing and mechanical equipment,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Submitted material and a site visit on 20 June 2016 indicate that proposed removal of roofing and mechanical equipment would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 16-273,/records-research/project-search/og-16-273,HPA 16-492,"1230-1234 36th Street, NW
United States",Commercial,Replace roof and mechanical equipment,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24918,Returned without Action.  Submitted material and a site visit on 20 June 2016 indicate that proposed replacement roof and mechanical equipment behind existing lattice screen fence would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board. ,,,,,,,
OG 16-088,/records-research/project-search/og-16-088-0,HPA 16-136,"3203 R Street, NW
United States",Residence,"Site work, Stairs at front and side",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,"Returned without Action. Permit application for site work has been inactive for an extended period of time.
","('/records-research/project-search/og-16-088', 'OG 16-088')",,,,,,
OG 16-093,/records-research/project-search/og-16-093-1,HPA 16-161,"2910 M Street, NW
United States",Commercial,Mechanical equipment,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,"Returned without Action.  Supplemental materials received 7 June 2016 locating proposed mechanical equipment at grade at rear yard, and site visit on 9 June 2016 indicate that equipment would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.","('/records-research/project-search/og-16-093', 'OG 16-093')",,,,,,
OG 16-131,/records-research/project-search/og-16-131-0,HPA 16-222,"1325 30th Street, NW
United States",Residence,Rear dormer,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,Returned without Action.  Concept application for new rear dormer has been inactive for an extended period of time.,"('/records-research/project-search/og-16-131', 'OG 16-131')",,,,,,
OG 16-145,/records-research/project-search/og-16-145,HPA 16-243,"1703 32nd Street, NW
United States",Dumbarton Oaks,Facade Illumination ,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,"Returned without Action. Permit application for exterior lighting has been inactive for an extended period of time.
",,,,,,,
OG 16-148,/records-research/project-search/og-16-148,HPA 16-259,"2812 Dumbarton Street, NW
United States",Residence,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,Returned without Action.  Concept application for alterations has been inactive for an extended period of time.,,,,,,,
OG 16-213,/records-research/project-search/og-16-213,HPA 16-371,"1660 34th Street, NW
United States",Residence,Rear additions,Revised permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,"Returned without Action. Submitted materials and a site visit on 11 May 2016 indicate that revisions to permit for new rear bay at second floor would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
","('/records-research/project-search/og-14-319', 'OG 14-319')",,,,,,
OG 16-219,/records-research/project-search/og-16-219,HPA 16-389,"1411 29th Street, NW
United States",Residence,Brick garden wall,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,"Returned without Action. Submission materials and a site visit on 16 May 2016 indicate that reconstructed rear brick garden wall would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Boards.
",,,,,,,
OG 16-225,/records-research/project-search/og-16-225,HPA 16-405,"3049 West Lane Keys, NW
United States",Residence,Replacement windows/doors,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24917,"Returned without Action. Submission materials and a site visit on 16 May 2016 indicate that replacement fenestration at rear would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Boards.
",,,,,,,
